timestamp_utc,exchange,pair,best_bid,best_ask,last_price
2026-03-11T05:41:21.839948+00:00,indodax,BTCIDR,1179129000,1179130000,1179130000
2026-03-11T05:42:24.784795+00:00,indodax,BTCIDR,1177000000,1179129000,1179129000
2026-03-11T05:43:05.885912+00:00,indodax,BTCIDR,1174585000,1174586000,1175000000
2026-03-11T05:44:08.488191+00:00,indodax,BTCIDR,1174585000,1175742000,1175742000
2026-03-11T05:45:12.068654+00:00,indodax,BTCIDR,1174586000,1175050000,1175051000
2026-03-11T05:46:14.312723+00:00,indodax,BTCIDR,1174586000,1175052000,1174586000
2026-03-11T05:47:17.647312+00:00,indodax,BTCIDR,1174586000,1175049000,1175049000
2026-03-11T05:48:20.330208+00:00,indodax,BTCIDR,1174586000,1175892000,1175888000
2026-03-11T05:49:23.166275+00:00,indodax,BTCIDR,1174587000,1175888000,1175888000
2026-03-11T05:50:25.223082+00:00,indodax,BTCIDR,1175000000,1175887000,1175888000
2026-03-11T05:51:27.625103+00:00,indodax,BTCIDR,1175002000,1177047000,1177049000
2026-03-11T05:52:30.543044+00:00,indodax,BTCIDR,1175050000,1177046000,1177046000
2026-03-11T05:53:32.914181+00:00,indodax,BTCIDR,1175056000,1177046000,1177046000
2026-03-11T05:54:34.871788+00:00,indodax,BTCIDR,1175059000,1177046000,1175059000
2026-03-11T05:55:37.267289+00:00,indodax,BTCIDR,1175056000,1176497000,1176497000
2026-03-11T05:56:40.267134+00:00,indodax,BTCIDR,1175050000,1176497000,1176497000
2026-03-11T05:57:43.145197+00:00,indodax,BTCIDR,1174587000,1176497000,1175001000
2026-03-11T05:58:45.504919+00:00,indodax,BTCIDR,1174587000,1176497000,1176497000
2026-03-11T05:59:47.438490+00:00,indodax,BTCIDR,1174586000,1175811000,1174586000
2026-03-11T06:00:53.025704+00:00,indodax,BTCIDR,1174586000,1175811000,1174586000
2026-03-11T06:01:56.451651+00:00,indodax,BTCIDR,1174586000,1175811000,1174586000
2026-03-11T06:03:00.023805+00:00,indodax,BTCIDR,1174586000,1175808000,1174585000
2026-03-11T06:04:02.788346+00:00,indodax,BTCIDR,1173610000,1175807000,1175807000
2026-03-11T06:05:05.381290+00:00,indodax,BTCIDR,1174087000,1175808000,1175807000
2026-03-11T06:06:08.178870+00:00,indodax,BTCIDR,1174615000,1175808000,1175808000
2026-03-11T06:07:10.220262+00:00,indodax,BTCIDR,1174615000,1175808000,1174617000
2026-03-11T06:08:12.906793+00:00,indodax,BTCIDR,1174616000,1175808000,1174615000
2026-03-11T06:09:15.496125+00:00,indodax,BTCIDR,1174619000,1175808000,1174625000
2026-03-11T06:10:20.510082+00:00,indodax,BTCIDR,1174620000,1175808000,1175808000
2026-03-11T06:11:22.519950+00:00,indodax,BTCIDR,1175810000,1175811000,1175811000
2026-03-11T06:12:26.201363+00:00,indodax,BTCIDR,1175812000,1177000000,1175811000
2026-03-11T06:13:28.444957+00:00,indodax,BTCIDR,1176000000,1177000000,1175814000
2026-03-11T06:14:30.728571+00:00,indodax,BTCIDR,1176005000,1177000000,1176003000
2026-03-11T06:15:33.396927+00:00,indodax,BTCIDR,1176005000,1177000000,1177000000
