timestamp_utc,exchange,pair,best_bid,best_ask,mid_price,bid_1_price,bid_1_qty,ask_1_price,ask_1_qty,bid_2_price,bid_2_qty,ask_2_price,ask_2_qty,bid_3_price,bid_3_qty,ask_3_price,ask_3_qty,bid_4_price,bid_4_qty,ask_4_price,ask_4_qty,bid_5_price,bid_5_qty,ask_5_price,ask_5_qty,bid_6_price,bid_6_qty,ask_6_price,ask_6_qty,bid_7_price,bid_7_qty,ask_7_price,ask_7_qty,bid_8_price,bid_8_qty,ask_8_price,ask_8_qty,bid_9_price,bid_9_qty,ask_9_price,ask_9_qty,bid_10_price,bid_10_qty,ask_10_price,ask_10_qty,bid_11_price,bid_11_qty,ask_11_price,ask_11_qty,bid_12_price,bid_12_qty,ask_12_price,ask_12_qty,bid_13_price,bid_13_qty,ask_13_price,ask_13_qty,bid_14_price,bid_14_qty,ask_14_price,ask_14_qty,bid_15_price,bid_15_qty,ask_15_price,ask_15_qty,bid_16_price,bid_16_qty,ask_16_price,ask_16_qty,bid_17_price,bid_17_qty,ask_17_price,ask_17_qty,bid_18_price,bid_18_qty,ask_18_price,ask_18_qty,bid_19_price,bid_19_qty,ask_19_price,ask_19_qty,bid_20_price,bid_20_qty,ask_20_price,ask_20_qty
2026-03-11T05:41:20.734641+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:42:23.816498+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:43:04.976117+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:44:08.059238+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:45:11.092666+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:46:13.864635+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:47:17.047166+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:48:19.400667+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:49:22.192606+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:50:24.731456+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:51:26.851108+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:52:30.088509+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:53:32.142857+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:54:34.473036+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:55:36.333218+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:56:39.237718+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:57:42.741192+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:58:45.093580+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T05:59:47.035813+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:00:51.994636+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:01:56.050675+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:02:58.925564+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:04:01.793360+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:05:04.965007+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:06:07.770442+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:07:09.813711+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:08:11.908708+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:09:14.999735+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:10:18.725023+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:11:22.109229+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:12:24.198576+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:13:28.020404+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:14:30.322910+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T06:15:32.999881+00:00,reku,BTCIDR,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
