open_time_utc,close_time_utc,exchange,pair,interval,open,high,low,close,volume,quote_volume,trade_count
2026-03-02T19:50:00+00:00,2026-03-02T19:50:59.999000+00:00,binance,BTCUSDT,1m,68928.62000000,68928.62000000,68868.18000000,68887.49000000,5.84726000,402772.94117120,2332
2026-03-02T19:51:00+00:00,2026-03-02T19:51:59.999000+00:00,binance,BTCUSDT,1m,68887.50000000,68916.29000000,68868.42000000,68903.80000000,7.70190000,530573.33865040,2760
2026-03-02T19:52:00+00:00,2026-03-02T19:52:59.999000+00:00,binance,BTCUSDT,1m,68903.80000000,69008.21000000,68874.13000000,68948.38000000,27.36633000,1886803.47331290,6651
2026-03-02T19:53:00+00:00,2026-03-02T19:53:59.999000+00:00,binance,BTCUSDT,1m,68948.38000000,68973.50000000,68908.98000000,68909.44000000,15.00224000,1034204.58047650,3976
2026-03-02T19:54:00+00:00,2026-03-02T19:54:59.999000+00:00,binance,BTCUSDT,1m,68909.44000000,68966.60000000,68900.50000000,68939.19000000,16.68409000,1150095.23704080,2584
2026-03-02T19:55:00+00:00,2026-03-02T19:55:59.999000+00:00,binance,BTCUSDT,1m,68939.18000000,69012.82000000,68927.67000000,68959.53000000,20.46274000,1411410.14399040,4211
2026-03-02T19:56:00+00:00,2026-03-02T19:56:59.999000+00:00,binance,BTCUSDT,1m,68959.52000000,68960.93000000,68928.64000000,68943.56000000,9.74582000,671893.60970280,3583
2026-03-02T19:57:00+00:00,2026-03-02T19:57:59.999000+00:00,binance,BTCUSDT,1m,68943.55000000,68943.56000000,68918.00000000,68918.01000000,6.46714000,445766.72174630,1702
2026-03-02T19:58:00+00:00,2026-03-02T19:58:59.999000+00:00,binance,BTCUSDT,1m,68918.00000000,68951.46000000,68918.00000000,68937.60000000,4.00493000,276064.49016850,1467
2026-03-02T19:59:00+00:00,2026-03-02T19:59:59.999000+00:00,binance,BTCUSDT,1m,68937.61000000,68970.38000000,68937.60000000,68966.53000000,11.01396000,759555.31548320,1608
2026-03-02T20:00:00+00:00,2026-03-02T20:00:59.999000+00:00,binance,BTCUSDT,1m,68966.52000000,68972.33000000,68932.09000000,68933.54000000,12.85862000,886572.17236670,5015
2026-03-02T20:01:00+00:00,2026-03-02T20:01:59.999000+00:00,binance,BTCUSDT,1m,68933.54000000,69007.56000000,68933.53000000,68994.00000000,9.94512000,686079.14611030,3744
2026-03-02T20:02:00+00:00,2026-03-02T20:02:59.999000+00:00,binance,BTCUSDT,1m,68994.01000000,69191.62000000,68994.00000000,69189.40000000,24.21098000,1673203.31195670,8083
2026-03-02T20:03:00+00:00,2026-03-02T20:03:59.999000+00:00,binance,BTCUSDT,1m,69189.40000000,69209.71000000,69154.70000000,69178.08000000,16.48327000,1140278.83042640,4854
2026-03-02T20:04:00+00:00,2026-03-02T20:04:59.999000+00:00,binance,BTCUSDT,1m,69179.26000000,69179.27000000,69135.34000000,69140.28000000,48.19072000,3332617.64757460,3316
2026-03-02T20:05:00+00:00,2026-03-02T20:05:59.999000+00:00,binance,BTCUSDT,1m,69140.28000000,69154.51000000,69104.71000000,69127.37000000,18.52828000,1280778.00498820,2923
2026-03-02T20:06:00+00:00,2026-03-02T20:06:59.999000+00:00,binance,BTCUSDT,1m,69127.37000000,69139.64000000,68944.75000000,68964.82000000,42.36615000,2925919.04378960,8070
2026-03-02T20:07:00+00:00,2026-03-02T20:07:59.999000+00:00,binance,BTCUSDT,1m,68964.81000000,69041.36000000,68950.98000000,68969.17000000,20.92817000,1443694.83331130,7144
2026-03-02T20:08:00+00:00,2026-03-02T20:08:59.999000+00:00,binance,BTCUSDT,1m,68969.18000000,68969.18000000,68798.71000000,68887.59000000,31.11009000,2142498.17275710,8061
2026-03-02T20:09:00+00:00,2026-03-02T20:09:59.999000+00:00,binance,BTCUSDT,1m,68887.59000000,68913.87000000,68825.27000000,68888.37000000,12.16090000,837439.89269130,5885
2026-03-02T20:10:00+00:00,2026-03-02T20:10:59.999000+00:00,binance,BTCUSDT,1m,68888.37000000,68893.91000000,68705.44000000,68705.44000000,34.58411000,2378738.81174480,11313
2026-03-02T20:11:00+00:00,2026-03-02T20:11:59.999000+00:00,binance,BTCUSDT,1m,68705.43000000,68720.00000000,68584.90000000,68715.19000000,51.29612000,3521003.83678070,11606
2026-03-02T20:12:00+00:00,2026-03-02T20:12:59.999000+00:00,binance,BTCUSDT,1m,68715.18000000,68799.55000000,68676.00000000,68790.60000000,26.86984000,1847108.09676010,7906
2026-03-02T20:13:00+00:00,2026-03-02T20:13:59.999000+00:00,binance,BTCUSDT,1m,68790.60000000,68822.89000000,68679.60000000,68693.53000000,25.22260000,1734053.27621650,7557
2026-03-02T20:14:00+00:00,2026-03-02T20:14:59.999000+00:00,binance,BTCUSDT,1m,68693.54000000,68752.00000000,68693.54000000,68738.01000000,8.55792000,588132.69575400,4770
2026-03-02T20:15:00+00:00,2026-03-02T20:15:59.999000+00:00,binance,BTCUSDT,1m,68738.00000000,68796.00000000,68669.30000000,68783.68000000,5.83390000,400953.20688450,6618
2026-03-02T20:16:00+00:00,2026-03-02T20:16:59.999000+00:00,binance,BTCUSDT,1m,68783.69000000,68908.20000000,68783.69000000,68868.57000000,12.65796000,871572.55825630,8506
2026-03-02T20:17:00+00:00,2026-03-02T20:17:59.999000+00:00,binance,BTCUSDT,1m,68868.58000000,68933.99000000,68868.58000000,68929.44000000,3.66036000,252235.39392010,5325
2026-03-02T20:18:00+00:00,2026-03-02T20:18:59.999000+00:00,binance,BTCUSDT,1m,68929.45000000,68959.54000000,68866.45000000,68945.29000000,5.83020000,401804.42214170,5117
2026-03-02T20:19:00+00:00,2026-03-02T20:19:59.999000+00:00,binance,BTCUSDT,1m,68945.30000000,68976.00000000,68862.50000000,68882.01000000,8.69768000,599278.03434330,5513
2026-03-02T20:20:00+00:00,2026-03-02T20:20:59.999000+00:00,binance,BTCUSDT,1m,68882.02000000,68909.53000000,68833.64000000,68895.50000000,10.64171000,732945.54022100,6056
2026-03-02T20:21:00+00:00,2026-03-02T20:21:59.999000+00:00,binance,BTCUSDT,1m,68894.18000000,68894.18000000,68824.07000000,68848.56000000,3.07081000,211433.14513770,4777
2026-03-02T20:22:00+00:00,2026-03-02T20:22:59.999000+00:00,binance,BTCUSDT,1m,68849.85000000,68937.44000000,68849.85000000,68907.06000000,5.94511000,409517.79016980,4300
2026-03-02T20:23:00+00:00,2026-03-02T20:23:59.999000+00:00,binance,BTCUSDT,1m,68907.05000000,68927.99000000,68858.04000000,68923.21000000,4.67380000,321982.97620100,4166
2026-03-02T20:24:00+00:00,2026-03-02T20:24:59.999000+00:00,binance,BTCUSDT,1m,68923.21000000,68994.00000000,68919.12000000,68979.09000000,5.31959000,366787.91622960,5002
2026-03-02T20:25:00+00:00,2026-03-02T20:25:59.999000+00:00,binance,BTCUSDT,1m,68979.09000000,69025.00000000,68945.39000000,68951.09000000,10.04425000,692867.08970380,6136
2026-03-02T20:26:00+00:00,2026-03-02T20:26:59.999000+00:00,binance,BTCUSDT,1m,68951.10000000,68960.76000000,68908.83000000,68926.37000000,4.33915000,299101.52705320,4005
2026-03-02T20:27:00+00:00,2026-03-02T20:27:59.999000+00:00,binance,BTCUSDT,1m,68926.37000000,69006.00000000,68926.37000000,68984.63000000,5.19339000,358199.62955720,3347
2026-03-02T20:28:00+00:00,2026-03-02T20:28:59.999000+00:00,binance,BTCUSDT,1m,68984.63000000,69058.32000000,68966.45000000,68998.43000000,10.84575000,748468.50754760,5319
2026-03-02T20:29:00+00:00,2026-03-02T20:29:59.999000+00:00,binance,BTCUSDT,1m,68998.42000000,69028.56000000,68951.73000000,68951.73000000,8.02018000,553368.34627080,4797
